total_time,tokens,predictions,top_k,dataset,model,faithfulness,iterations
6593.379036903381,6106437.1,118961.4,10,abt_buy,frequent,0.01,8
13403.36477780342,16547289.0,322529.0,10,abt_buy,union,0.02,6
3021.2769570350647,18543731.3,361415.7,10,abt_buy,intersection,0.02,8
13999.82933306694,20871942.9,406635.6,10,beers,frequent,0.02,9
2298.0276210308075,23704721.0,461611.8,10,beers,union,0.03,9
10258.86031484604,26225899.9,510606.5,10,beers,intersection,0.01,10
1205.9514989852903,26402647.7,514069.9,10,amazon_google,frequent,0.03,9
1396.1777029037476,26583592.8,517615.6,10,amazon_google,union,0.03,7
342.57272696495056,26755210.0,520978.4,10,amazon_google,intersection,0.03,9
12404.904319286346,27755684.2,540484.5,10,fodo_zaga,frequent,0.01,4
5612.305712938309,28958389.0,563925.1,10,fodo_zaga,union,0.04,3
4969.244691371918,29755201.2,579441.0,10,fodo_zaga,intersection,0.04,5
3602.4309079647064,30583706.6,595067.4,10,walmart_amazon,frequent,0.02,1
8190.621210098267,31631309.0,614711.0,10,walmart_amazon,union,0.01,5
5343.727644920349,31953865.6,621003.5,10,walmart_amazon,intersection,0.04,6
12698.275044202805,3901723.4,76387.4,5,abt_buy,frequent,0.01,7
10571.919881105425,8436876.0,165112.6,5,abt_buy,union,0.03,5
527.7517771720886,9413275.0,184229.2,5,abt_buy,intersection,0.04,8
2993.711632013321,9664251.4,189123.0,5,beers,frequent,0.03,8
1123.2113599777222,10090720.4,197449.8,5,beers,union,0.04,9
1141.949754238129,10282159.0,201185.0,5,beers,intersection,0.05,9
27094.063344955444,12840829.6,251351.8,5,amazon_google,frequent,0.05,9
2683.9711170196533,15620941.0,305860.4,5,amazon_google,union,0.03,8
806.2367630004883,18390454.6,360161.2,5,amazon_google,intersection,0.05,10
1860.952908039093,19662978.8,385095.4,5,fodo_zaga,frequent,0.02,5
510.7837970256805,21039347.0,412034.6,5,fodo_zaga,union,0.03,2
371.2300736904144,22195248.0,434682.4,5,fodo_zaga,intersection,0.04,6
2661.260805130005,22521514.2,441042.2,5,walmart_amazon,frequent,0.03,5
421.8813591003418,23105920.6,452380.4,5,walmart_amazon,union,0.02,3
275.934268951416,23350986.2,457149.8,5,walmart_amazon,intersection,0.03,6
6593.379036903381,9106437.1,118961.4,20,abt_buy,frequent,0.01,3
13403.36477780342,23547289.0,322529.0,20,abt_buy,union,0.02,2
3021.2769570350647,28543731.3,361415.7,20,abt_buy,intersection,0.02,4
13999.82933306694,20871942.9,406635.6,20,beers,frequent,0.01,2
2298.0276210308075,23704721.0,461611.8,20,beers,union,0.03,1
10258.86031484604,26225899.9,510606.5,20,beers,intersection,0.01,4
1205.9514989852903,26402647.7,514069.9,20,amazon_google,frequent,0.02,2
1396.1777029037476,26583592.8,517615.6,20,amazon_google,union,0.02,2
342.57272696495056,26755210.0,520978.4,20,amazon_google,intersection,0.03,5
12404.904319286346,37755684.2,540484.5,20,fodo_zaga,frequent,0.01,1
5612.305712938309,38958389.0,563925.1,20,fodo_zaga,union,0.01,1
4969.244691371918,39755201.2,579441.0,20,fodo_zaga,intersection,0.01,1
3602.4309079647064,30583706.6,595067.4,20,walmart_amazon,frequent,0.02,4
8190.621210098267,31631309.0,614711.0,20,walmart_amazon,union,0.03,2
5343.727644920349,31953865.6,621003.5,20,walmart_amazon,intersection,0.04,4
12698.275044202805,3901723.4,76387.4,20,abt_buy,frequent,0.03,3
10571.919881105425,8436876.0,165112.6,20,abt_buy,union,0.021,3
527.7517771720886,9413275.0,184229.2,20,abt_buy,intersection,0.01,6
2993.711632013321,12664251.4,189123.0,20,beers,frequent,0.02,1
1123.2113599777222,15090720.4,197449.8,20,beers,union,0.02,1
1141.949754238129,20282159.0,201185.0,20,beers,intersection,0.02,4
27094.063344955444,12840829.6,251351.8,20,amazon_google,frequent,0.03,2
2683.9711170196533,15620941.0,305860.4,20,amazon_google,union,0.03,1
806.2367630004883,18390454.6,360161.2,20,amazon_google,intersection,0.04,4
1860.952908039093,19662978.8,385095.4,20,fodo_zaga,frequent,0.0,2
510.7837970256805,21039347.0,412034.6,20,fodo_zaga,union,0.01,1
371.2300736904144,22195248.0,434682.4,20,fodo_zaga,intersection,0.01,2
2661.260805130005,29521514.2,441042.2,20,walmart_amazon,frequent,0,2
421.8813591003418,33105920.6,452380.4,20,walmart_amazon,union,0.02,2
275.934268951416,43350986.2,457149.8,20,walmart_amazon,intersection,0.03,4
6593.379036903381,6106437.1,118961.4,15,abt_buy,frequent,0.02,2
13403.36477780342,16547289.0,322529.0,15,abt_buy,union,0.04,1
3021.2769570350647,18543731.3,361415.7,15,abt_buy,intersection,0.03,5
13999.82933306694,20871942.9,406635.6,15,beers,frequent,0.01,2
2298.0276210308075,23704721.0,461611.8,15,beers,union,0.02,1
10258.86031484604,28225899.9,510606.5,15,beers,intersection,0.02,3
1205.9514989852903,29402647.7,514069.9,15,amazon_google,frequent,0.03,5
1396.1777029037476,36583592.8,517615.6,15,amazon_google,union,0.03,3
342.57272696495056,26755210.0,520978.4,15,amazon_google,intersection,0.03,4
12404.904319286346,27755684.2,540484.5,15,fodo_zaga,frequent,0,2
5612.305712938309,28958389.0,563925.1,15,fodo_zaga,union,0,1
4969.244691371918,29755201.2,579441.0,15,fodo_zaga,intersection,0.01,3
3602.4309079647064,30583706.6,595067.4,15,walmart_amazon,frequent,0.02,3
8190.621210098267,31631309.0,614711.0,15,walmart_amazon,union,0.02,2
5343.727644920349,31953865.6,621003.5,15,walmart_amazon,intersection,0.03,5